Column Name,ID,PK,Index Pos,Null?,Data Type,Default,Def. On Null,Histogram,Num Distinct,Num Nulls,Density
VNP_CHILD_SCHOOL_ID,1,1,1,N,NUMBER (15),,,None,"845,966",0,0
VNP_PTCPNT_ID,2,,,N,NUMBER (15),,,None,"798,464",0,0
CURNT_EDU_INSTN_PTCPNT_ID,3,,,Y,NUMBER (15),,,None,"8,462","603,582",0.00012
PREV_SCHOOL_NM,4,,,Y,VARCHAR2 (80 Byte),,,None,"86,920","523,325",1E-5 L
PREV_SCHOOL_ADDRS_ONE_TXT,5,,,Y,VARCHAR2 (35 Byte),,,None,"149,536","465,594",1E-5 L
PREV_SCHOOL_ADDRS_TWO_TXT,6,,,Y,VARCHAR2 (35 Byte),,,None,"16,198","808,298",6E-5 L
PREV_SCHOOL_ADDRS_THREE_TXT,7,,,Y,VARCHAR2 (35 Byte),,,None,"3,462","838,216",0.00029 L
PREV_SCHOOL_POSTAL_CD,8,,,Y,VARCHAR2 (2 Byte),,,None,63,"471,971",0.01587 L
PREV_SCHOOL_ADDRS_ZIP_NBR,9,,,Y,VARCHAR2 (5 Byte),,,None,"18,270","473,285",5E-5 L
CURNT_SCHOOL_NM,10,,,Y,VARCHAR2 (80 Byte),,,None,"104,104","229,350",1E-5 L
CURNT_SCHOOL_ADDRS_ONE_TXT,11,,,Y,VARCHAR2 (35 Byte),,,None,"186,368","155,459",1E-5 L
CURNT_SCHOOL_ADDRS_TWO_TXT,12,,,Y,VARCHAR2 (35 Byte),,,None,"23,296","717,379",4E-5 L
CURNT_SCHOOL_ADDRS_THREE_TXT,13,,,Y,VARCHAR2 (35 Byte),,,None,"4,581","824,170",0.00022 L
CURNT_SCHOOL_POSTAL_CD,14,,,Y,VARCHAR2 (2 Byte),,,None,63,"160,920",0.01587 L
CURNT_SCHOOL_ADDRS_ZIP_NBR,15,,,Y,VARCHAR2 (5 Byte),,,None,"19,488","160,833",5E-5 L
SCHOOL_TERM_START_DT,16,,,Y,DATE,,,None,"14,081","14,400",7.00E-05
SCHOOL_ACTUAL_EXPCTD_START_DT,17,,,Y,DATE,,,None,"10,952","12,949",9.00E-05
GRADTN_DT,18,,,Y,DATE,,,None,"16,496","14,388",6.00E-05
FULL_TIME_STUDNT_TYPE_CD,19,,,Y,VARCHAR2 (12 Byte),,,None,4,"167,716",0.25 L
PART_TIME_SCHOOL_SUBJCT_TXT,20,,,Y,VARCHAR2 (2000 Byte),,,None,"7,448","824,365",0.00013 L
COURSE_NAME_TXT,21,,,Y,VARCHAR2 (1000 Byte),,,None,"79,304","184,851",1E-5 L
CURNT_SESSNS_PER_WK_NUM,22,,,Y,NUMBER (3),,,None,72,"824,044",0.01389
CURNT_HOURS_PER_WK_NUM,23,,,Y,"NUMBER (4,1)",,,None,164,"824,056",0.0061
PREV_SESSNS_PER_WK_NUM,24,,,Y,NUMBER (3),,,None,199,"464,654",0.00503
PREV_HOURS_PER_WK_NUM,25,,,Y,"NUMBER (4,1)",,,None,461,"463,446",0.00217
LAST_TERM_ENRLMT_IND,26,,,Y,VARCHAR2 (1 Byte),,,None,2,"223,229",0.5 L
LAST_TERM_START_DT,27,,,Y,DATE,,,None,"11,084","343,522",9.00E-05
LAST_TERM_END_DT,28,,,Y,DATE,,,None,"11,934","343,861",8.00E-05
VNP_PROC_ID,29,,,N,NUMBER (15),,,None,"732,480",0,0
JRN_DT,30,,,N,DATE,,,None,"810,880",0,0
JRN_LCTN_ID,31,,,N,VARCHAR2 (4 Byte),,,None,45,0,0.02222 L
JRN_OBJ_ID,33,,,N,VARCHAR2 (32 Byte),,U,None,12,,0.08333
JRN_STATUS_TYPE_CD,34,,,Y,VARCHAR2 (12 Byte),,,None,,,0.5
RMKS,35,,,Y,VARCHAR2 (4000 Byte),,,None,,"845,966",0
PREV EDU INSTN PTCPNT ID,36,,,Y,NUMBER (15),,,None,"5,175","798,621",0.00019
PREV_SCHOOL_CITY_NM,37,,,Y,VARCHAR2 (30 Byte),,,None,"32,100","465,433",ЗE-5
PREV_SCHOOL_CNTRY_NM,38,,,Y,VARCHAR2 (50 Byte),,,None,242,"543,910",0.00413
PREV MLTY POSTAL TYP CD,39,,,Y,VARCHAR2 (12 Byte),,,None,,"845,966",0
PREV_MLTY_POST_OFFICE_TYP_CD,40,,,Y,VARCHAR2 (12 Byte),,,None,,"845,966",0
PREV FRGN POSTAL CD,41,,,Y,VARCHAR2 (16 Byte),,,None,,"845,966",0
CURNT_SCHOOL_CITY_NM,42,,,Y,VARCHAR2 (30 Byte),,,None,"35,788","155,447",ЗE-5
CURNT_SCHOOL_CNTRY_NM,43,,,Y,VARCHAR2 (50 Byte),,,None,253,"316,383",0.00395
CURNT_MLTY_POSTAL_TYP_CD,44,,,Y,VARCHAR2 (12 Byte),,,None,,"845,966",0
CURNT_MLTY_POST_OFFICE_TYP_CD,45,,,Y,VARCHAR2 (12 Byte),,,None,,"845,966",0
CURNT_FORGN_POSTAL_CD,46,,,Y,VARCHAR2 (16 Byte),,,None,,"845,966",0
