Column Name,ID,PK,Index Pos,Null?,Data Type,Default,Def. On Null,Histogram,Num Distinct,Num Nulls,Density
VNP_PTCPNT_ID,1,1,1,N,NUMBER (15),,,None,"822,144",0,0
MARAGE_DT,2,,,Y,DATE,,,None,"2,672","826,488",0.00037
GOVT_PAID_TUITN_IND,3,,,Y,VARCHAR2 (1 Byte),,,None,4,"9,994",0.25
AGENCY_PAYING_TUITN_NM,4,,,Y,VARCHAR2 (2000 Byte),,,None,"11,527","773,820",9.00E-05
GOVT_PAID_TUITN_START_DT,5,,,Y,DATE,,,None,"5,967","773,940",0.00017
TERM_YEAR_EMPLMT_INCOME_AMT,6,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
NEXT_YEAR_EMPLMT_INCOME_AMT,7,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
TERM_YEAR_SSA_INCOME_AMT,8,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
NEXT_YEAR_SSA_INCOME_AMT,9,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
TERM_YEAR_ANNTY_INCOME_AMT,10,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
NEXT_YEAR_ANNTY_INCOME_AMT,11,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
NEXT_YEAR_OTHER_INCOME_AMT,12,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
SAVING_AMT,13,,,Y,"NUMBER (10,2)",,,None,1,"603,014",1
STOCK_BOND_AMT,14,,,Y,"NUMBER (10,2)",,,None,1,"603,014",1
REAL_ESTATE_AMT,15,,,Y,"NUMBER (10,2)",,,None,1,"603,014",1
OTHER_ASSET_AMT,16,,,Y,"NUMBER (10,2)",,,None,1,"603,014",1
RMKS,17,,,Y,VARCHAR2 (4000 Byte),,,None,0,"831,039",0
VNP_PROC_ID,18,,,N,NUMBER (15),,,None,"751,040",0,0
TERM_YEAR_OTHER_INCOME_AMT,19,,,Y,"NUMBER (9,2)",,,None,0,"831,039",0
JRN_DT,20,,,N,DATE,,,None,"796,416",0,0
JRN_LCTN_ID,21,,,N,VARCHAR2 (4 Byte),,,None,45,0,0.02222
JRN_USER_ID,22,,,N,VARCHAR2 (50 Byte),,,None,"4,244",0,0.00024
JRN_OBJ_ID,23,,,N,VARCHAR2 (32 Byte),,,None,9,0,0.11111
JRN_STATUS_TYPE_CD,24,,,N,VARCHAR2 (12 Byte),,,None,2,0,0.5
ATNDED_SCHOOL_CNTNUS_IND,25,,,Y,VARCHAR2 (1 Byte),,,None,2,"734,396",0.5
STOPED_ATNDNG_SCHOOL_DT,26,,,Y,DATE,,,None,567,"764,198",0.00176
ACRDTD_SCHOOL_IND,27,,,Y,VARCHAR2 (1 Byte),,,None,2,"734,396",0.5
