Column Name,ID,PK,Index Pos,Null?,Data Type,Default,Def. On Null,Histogram,Num Distinct,Num Nulls,Density
VNP_PTCPNT_ID,1,1,1,N,NUMBER (15),,,None,"15,878,759",0,0
LAST_NM,2,,,N,VARCHAR2 (30 Byte),,,None,"664,064",0,0
FIRST_NM,3,,,N,VARCHAR2 (30 Byte),,,None,"432,320",0,0
PERSON_TYPE_NM,4,,,Y,VARCHAR2 (50 Byte),,,None,1,"14,956,516",1
VET_IND,5,,,Y,VARCHAR2 (1 Byte),,,None,2,"3,069,757",0.5
VET_TYPE_NM,6,,,Y,VARCHAR2 (50 Byte),,,None,0,"15,878,759",0
MIDDLE_NM,7,,,Y,VARCHAR2 (30 Byte),,,None,"350,368","3,767,525",0
BRTHDY_DT,8,,,Y,DATE,,,None,"111,040","1,635,380",1.00E-05
DEATH_DT,9,,,Y,DATE,,,None,"2,622","15,871,154",0.00038
EMP_IND,10,,,Y,VARCHAR2 (1 Byte),,,None,0,"15,878,759",0
GENDER_CD,11,,,Y,VARCHAR2 (9 Byte),,,None,2,"13,475,401",0.5
MLTY_PERSON_IND,12,,,Y,VARCHAR2 (1 Byte),,,None,0,"15,878,759",0
MONTHS_PRESNT_EMPLYR_NBR,13,,,Y,NUMBER (2),,,None,0,"15,878,759",0
OCPTN_TXT,14,,,Y,VARCHAR2 (32 Byte),,,None,0,"15,878,759",0
POTNTL_DNGRS_IND,15,,,Y,VARCHAR2 (1 Byte),,,None,0,"15,878,759",0
SUFFIX_NM,16,,,Y,VARCHAR2 (3 Byte),,,None,256,"15,814,161",0.00391
SSN_NBR,17,,,Y,VARCHAR2 (9 Byte),,,None,"8,008,192","1,257,009",0
YEARS_PRESNT_EMPLYR_NBR,18,,,Y,NUMBER (2),,,None,0,"15,878,759",0
PERSON_DEATH_CAUSE_TYPE_NM,19,,,Y,VARCHAR2 (50 Byte),,,None,0,"15,878,759",0
RACE_TYPE_NM,20,,,Y,VARCHAR2 (50 Byte),,,None,0,"15,878,759",0
ENTLMT_TYPE_CD,21,,,Y,VARCHAR2 (12 Byte),,,None,0,"15,878,759",0
LGY_ENTLMT_TYPE_CD,22,,,Y,VARCHAR2 (12 Byte),,,None,0,"15,878,759",0
NET_WORTH_AMT,23,,,Y,NUMBER (9),,,None,0,"15,878,759",0
SLTTN_TYPE_NM,24,,,Y,VARCHAR2 (50 Byte),,,None,5,"15,805,605",0.2
FILE_NBR,25,,,Y,VARCHAR2 (9 Byte),,,None,"3,172,864","8,762,762",0
FRGN_SVC_NBR,26,,,Y,NUMBER (9),,,None,0,"15,878,759",0
SEROUS_EMPLMT_HNDCAP_IND,27,,,Y,VARCHAR2 (1 Byte),,,None,0,"15,878,759",0
SPINA_BIFIDA_IND,28,,,Y,VARCHAR2 (1 Byte),,,None,0,"15,878,759",0
DEP_NBR,29,,,Y,NUMBER (2),,,None,0,"15,878,759",0
SBSTNC_AMT,30,,,Y,"NUMBER (8,2)",,,None,1,"15,067,576",1
LAST_NM_KEY,31,,,Y,NUMBER (10),,,None,773,"578,696",0.00129
FIRST_NM_KEY,32,,,Y,NUMBER (10),,,None,279,"578,696",0.00358
MIDDLE_NM_KEY,33,,,Y,NUMBER (10),,,None,358,"578,696",0
SUFFIX_NM_KEY,34,,,Y,NUMBER (10),,,None,3,"578,696",0.33
TERMNL_DIGIT_NBR,35,,,Y,VARCHAR2 (2 Byte),,,None,105,"8,762,762",0
BIRTH_CITY_NM,36,,,Y,VARCHAR2 (30 Byte),,,None,"102,616","12,109,335",
BIRTH_STATE_CD,37,,,Y,VARCHAR2 (2 Byte),,,None,61,"12,171,514",0.01
SSN_VRFCTN_STATUS_TYPE_CD,38,,,Y,VARCHAR2 (12 Byte),,,None,0,"15,878,759",
CMPTNY_DECN_TYPE_CD,39,,,Y,VARCHAR2 (12 Byte),,,None,0,"15,878,759",
ETHNIC_TYPE_CD,40,,,Y,VARCHAR2 (12 Byte),,,None,0,"15,878,759",
TAX_ABTMNT_CD,41,,,Y,VARCHAR2 (1 Byte),,,None,0,"15,878,759",
FID_DECN_CATEGY_TYPE_CD,42,,,Y,VARCHAR2 (12 Byte),,,None,0,"15,878,759",
TITLE_TXT,43,,,Y,VARCHAR2 (50 Byte),,,None,0,"15,878,759",
NO_SSN_REASON_TYPE_CD,44,,,Y,VARCHAR2 (12 Byte),,,None,2,"15,820,223",
MARTL_STATUS_TYPE_CD,45,,,Y,VARCHAR2 (12 Byte),,,None,5,"11,782,628",
SPOUSE_NUM,46,,,Y,NUMBER (3),,,None,0,"15,878,759",
VNP_PROC_ID,47,,,N,NUMBER (15),,,None,"7,071,232",0,
VNP_SRUSLY_DSABLD_IND,48,,,Y,VARCHAR2 (1 Byte),,,None,2,"12,372,521",
VNP_SCHOOL_CHILD_IND,49,,,Y,VARCHAR2 (1 Byte),,,None,2,"13,107,248",
EVER_MARIED_IND,50,,,Y,VARCHAR2 (1 Byte),,,None,2,"4,683,463",
JRN_DT,51,,,N,DATE,,,None,"12,333,056",0,
JRN_LCTN_ID,52,,,N,VARCHAR2 (4 Byte),,,None,56,0,0.01
JRN_USER_ID,53,,,N,VARCHAR2 (50 Byte),,,None,"6,481",0,0
JRN_STATUS_TYPE_CD,54,,,N,VARCHAR2 (12 Byte),,,None,2,0,
JRN_OBJ_ID,55,,,N,VARCHAR2 (32 Byte),,,None,16,0,0.06
BIRTH_CNTRY_NM,56,,,Y,VARCHAR2 (50 Byte),,,None,801,"13,290,438",0
